window,loss,psnr,ssim,relative_error,time_per_window
1,0.0027177180163562298,25.6208438873291,0.8393590450286865,8.721257209777832,0.45336031913757324
2,0.001131671597249806,29.299955368041992,0.8759492635726929,5.670973777770996,0.4208519458770752
3,0.0006257843342609704,31.93122673034668,0.8988495469093323,4.240402698516846,0.42633605003356934
4,0.00039245234802365303,34.0556640625,0.9142953753471375,3.3795182704925537,0.42458248138427734
5,0.0002861936518456787,35.41889572143555,0.9259912371635437,2.910027503967285,0.4175426959991455
6,0.000246854149736464,35.95744323730469,0.9355553388595581,2.7295379638671875,0.4333922863006592
7,0.00024357830989174545,36.12040710449219,0.940751314163208,2.740203619003296,0.44925379753112793
8,0.00024154594575520605,36.14768981933594,0.9463708996772766,2.7581100463867188,0.4524712562561035
9,0.0002861015673261136,35.39692687988281,0.9479301571846008,3.0191078186035156,0.4502997398376465
10,0.0003025959595106542,35.18260955810547,0.94847172498703,3.160756826400757,0.4468817710876465
11,0.00035255434340797365,34.508975982666016,0.9411258101463318,3.451611042022705,0.42820167541503906
12,0.0003194340970367193,34.937225341796875,0.9515389204025269,3.2048799991607666,0.4207284450531006
13,0.00041024383972398937,33.8597526550293,0.9482596516609192,3.68999981880188,0.41939449310302734
14,0.0004068819689564407,33.90130615234375,0.9577832818031311,3.74749493598938,0.4243314266204834
15,0.0003372433711774647,34.68776321411133,0.9584804773330688,3.3499088287353516,0.4218873977661133
16,0.00035291732638143003,34.51966857910156,0.9573233127593994,3.3374688625335693,0.4142148494720459
17,0.00030033732764422894,35.181888580322266,0.9594100713729858,3.0897562503814697,0.4425477981567383
18,0.00031742663122713566,34.98011779785156,0.9567781686782837,3.18522310256958,0.4476773738861084
19,0.0003984981740359217,33.988929748535156,0.9595860242843628,3.7027525901794434,0.4280281066894531
20,0.0002949423505924642,35.298301696777344,0.9613634347915649,3.2130889892578125,0.43410372734069824
