window,loss,psnr,ssim,relative_error,time_per_window
1,0.0046446556225419044,23.330463409423828,0.9676915407180786,11.467225074768066,1.0558693408966064
2,0.0029234876856207848,25.340988159179688,0.9665261507034302,9.174185752868652,30.709750413894653
3,0.00031113839941099286,35.070465087890625,0.9784231185913086,3.011476993560791,1.929985523223877
4,0.000131738735944964,38.80286407470703,0.9826345443725586,1.973315715789795,1.7969682216644287
5,0.00012807508755940944,38.92535400390625,0.987398087978363,1.9632922410964966,1.7637887001037598
6,0.0002264394861413166,36.450477600097656,0.9855600595474243,2.638036012649536,1.7375471591949463
7,0.00016535358736291528,37.81586456298828,0.9893273115158081,2.278764247894287,1.730116605758667
8,0.00023068522568792105,36.36980438232422,0.9890081286430359,2.7184360027313232,1.7154874801635742
9,0.000264292728388682,35.77914810180664,0.9885138869285583,2.9297237396240234,1.715395212173462
10,0.00030376086942851543,35.1746826171875,0.9868032336235046,3.20367169380188,1.7042841911315918
11,0.00034626820706762373,34.605873107910156,0.985256016254425,3.4603018760681152,1.6956360340118408
12,0.0003903299511875957,34.08568572998047,0.9843844175338745,3.574873924255371,1.6974408626556396
13,0.0006981971091590822,31.560218811035156,0.9821151494979858,4.834750175476074,1.6986734867095947
14,0.0006669745780527592,31.758907318115234,0.9859799742698669,4.812260150909424,1.7087504863739014
15,0.0005569255445152521,32.542030334472656,0.9850340485572815,4.335508823394775,1.6972417831420898
16,0.0006652253214269876,31.770313262939453,0.9842655658721924,4.610255241394043,1.6992864608764648
17,0.0006546768709085882,31.83972930908203,0.9829311370849609,4.592933177947998,1.6982731819152832
18,0.0007967276033014059,30.986902236938477,0.9805042147636414,5.078731536865234,1.699859380722046
19,0.0007856456213630736,31.0477352142334,0.9790368676185608,5.233910083770752,1.7102673053741455
20,0.0005788957350887358,32.37399673461914,0.9771844148635864,4.549136161804199,1.716627597808838
