window,loss,psnr,ssim,relative_error,time_per_window
1,0.0047798906452953815,23.205821990966797,0.9572480320930481,11.63296890258789,1.0085780620574951
2,0.00391414575278759,24.07362937927246,0.9360594749450684,10.615376472473145,1.0129144191741943
3,0.0026680687442421913,25.73802947998047,0.9733253717422485,8.818633079528809,1.0156855583190918
4,0.0004623389686457813,33.35039520263672,0.9661614298820496,3.696749687194824,1.0187568664550781
5,0.0001877792237792164,37.26352310180664,0.9792201519012451,2.377258539199829,1.0202198028564453
6,0.0001676350657362491,37.756351470947266,0.98096764087677,2.2697973251342773,1.0196199417114258
7,0.0001790551032172516,37.47013473510742,0.9830799698829651,2.3712971210479736,1.018998146057129
8,0.000263684312812984,35.78915786743164,0.9812315106391907,2.9063730239868164,1.020658254623413
9,0.0002599778526928276,35.85063552856445,0.9838741421699524,2.905709981918335,1.022742509841919
10,0.00026498190709389746,35.76784133911133,0.9861686825752258,2.992197036743164,1.0253405570983887
11,0.0003109804820269346,35.07267379760742,0.9870055913925171,3.279247522354126,1.0232336521148682
12,0.0003204394306521863,34.942543029785156,0.9860829710960388,3.2390503883361816,1.0232560634613037
13,0.0005551979993470013,32.55552291870117,0.9825965762138367,4.311306953430176,1.02463960647583
14,0.0006619687774218619,31.7916259765625,0.9813929200172424,4.794167518615723,1.0237817764282227
15,0.0004884708905592561,33.11161422729492,0.9850180149078369,4.060325622558594,1.0246925354003906
16,0.0005460224347189069,32.627899169921875,0.9845531582832336,4.176820755004883,1.026583194732666
17,0.0004878855834249407,33.1168212890625,0.9833244681358337,3.964930772781372,1.0278842449188232
18,0.0005655713612213731,32.47512435913086,0.9821507334709167,4.279016971588135,1.0246915817260742
19,0.0004986932035535574,33.02166748046875,0.9808589220046997,4.169938564300537,1.0318107604980469
20,0.0003733090416062623,34.27931594848633,0.9817293286323547,3.6531119346618652,1.0257220268249512
