window,loss,psnr,ssim,relative_error,time_per_window
1,0.11080877482891083,9.55426025390625,0.715116560459137,56.01040267944336,8.943944931030273
2,0.02508305199444294,16.006196975708008,0.8398699760437012,26.872440338134766,9.380537986755371
3,0.01231300737708807,19.096359252929688,0.84383624792099,18.94457244873047,9.25139594078064
4,0.011818398721516132,19.2744140625,0.8326945304870605,18.6904239654541,8.737003087997437
5,0.012747419066727161,18.945777893066406,0.820828914642334,19.586811065673828,9.591598987579346
6,0.014169638976454735,18.486412048339844,0.809865415096283,20.868154525756836,10.632921695709229
7,0.01624031364917755,17.89405632019043,0.799868643283844,22.58342742919922,10.055693626403809
8,0.019569221884012222,17.084264755249023,0.7908189296722412,25.03778839111328,11.423332214355469
9,0.01976958103477955,17.04002571105957,0.7861886024475098,25.338611602783203,13.093988180160522
10,0.018603689968585968,17.30401039123535,0.7846633195877075,25.071578979492188,15.71219778060913
11,0.018806474283337593,17.256925582885742,0.7848409414291382,25.50124168395996,8.902313947677612
12,0.019185800105333328,17.170202255249023,0.7903510332107544,25.063095092773438,9.407787084579468
13,0.022507479414343834,16.47673225402832,0.7905595302581787,27.45038604736328,8.620726108551025
14,0.02182442881166935,16.610570907592773,0.7957254648208618,27.527442932128906,10.730852127075195
15,0.018110986799001694,17.42057991027832,0.8019464015960693,24.723648071289062,9.504112958908081
16,0.018778618425130844,17.263362884521484,0.8086428642272949,24.494718551635742,11.351069927215576
17,0.016366630792617798,17.860408782958984,0.8157655000686646,22.964460372924805,11.127508878707886
18,0.017437346279621124,17.58519744873047,0.8164411783218384,23.75967788696289,8.100516080856323
19,0.017695186659693718,17.52145004272461,0.8143908381462097,24.83936882019043,8.653849840164185
20,0.014321042224764824,18.44025421142578,0.8138909339904785,22.62643051147461,8.85696530342102
