window,loss,psnr,ssim,relative_error,time_per_window
1,0.008615956641733646,20.64696502685547,0.8750274181365967,15.618284225463867,3.9980506896972656
2,0.008898844011127949,20.506664276123047,0.876842200756073,16.006032943725586,4.112171649932861
3,0.00910182110965252,20.40871810913086,0.8644569516181946,16.287967681884766,4.159445285797119
4,0.009120924398303032,20.39961051940918,0.8370935320854187,16.419475555419922,4.161527872085571
5,0.008581542409956455,20.66434669494629,0.8480736017227173,16.07071876525879,4.157133102416992
6,0.005570896901190281,22.54075050354004,0.8505881428718567,13.08480167388916,4.177278995513916
7,0.004231056664139032,23.735511779785156,0.8612450957298279,11.527019500732422,4.384535789489746
8,0.00407905038446188,23.8944091796875,0.872272253036499,11.431118965148926,4.446604251861572
9,0.004330458119511604,23.634662628173828,0.8777461647987366,11.859079360961914,4.496559381484985
10,0.005133012775331736,22.89627456665039,0.8848161101341248,13.16947078704834,4.465303182601929
11,0.006185946520417929,22.085941314697266,0.8767023682594299,14.625499725341797,4.407824993133545
12,0.0063027129508554935,22.004722595214844,0.8804349899291992,14.365095138549805,4.302675247192383
13,0.006834545638412237,21.65290641784668,0.8873335123062134,15.126548767089844,4.197552919387817
14,0.006338618695735931,21.98005485534668,0.8866501450538635,14.835144996643066,4.153492212295532
15,0.006304932292550802,22.00319480895996,0.8820220828056335,14.587529182434082,4.158806562423706
16,0.0071874577552080154,21.434247970581055,0.8805105686187744,15.154033660888672,4.160973072052002
17,0.006667215842753649,21.760555267333984,0.8788015246391296,14.657126426696777,4.158973217010498
18,0.007436554413288832,21.28628158569336,0.8811193704605103,15.516230583190918,4.157028436660767
19,0.007331395521759987,21.348133087158203,0.8919808268547058,15.988447189331055,4.158625602722168
20,0.006283984985202551,22.017648696899414,0.8792372941970825,14.988090515136719,4.159314393997192
