window,loss,psnr,ssim,relative_error,time_per_window
1,0.008612015284597874,20.648954391479492,0.8765511512756348,15.61471176147461,41.58906602859497
2,0.008006121963262558,20.965778350830078,0.8487451076507568,15.181965827941895,27.031479120254517
3,0.006568231154233217,21.825515747070312,0.883198082447052,13.836522102355957,23.265591144561768
4,0.004830456338822842,23.160118103027344,0.8883600234985352,11.949064254760742,23.215592861175537
5,0.0035026229452341795,24.556066513061523,0.9063563346862793,10.267136573791504,23.437954902648926
6,0.0027386904694139957,25.624570846557617,0.9076107144355774,9.17436695098877,23.34735894203186
7,0.0023040715605020523,26.375041961669922,0.9178259968757629,8.506298065185547,23.492225885391235
8,0.0024390248581767082,26.127838134765625,0.9131404757499695,8.839288711547852,24.031330108642578
9,0.0029789493419229984,25.259368896484375,0.9181525707244873,9.83593463897705,25.497435331344604
10,0.0037454203702509403,24.264995574951172,0.9115199446678162,11.249479293823242,27.083385944366455
11,0.004794636741280556,23.19244384765625,0.9072922468185425,12.876134872436523,27.54164409637451
12,0.005274238996207714,22.778400421142578,0.893659770488739,13.140887260437012,27.611377239227295
13,0.006109773181378841,22.13974952697754,0.8911111950874329,14.30202579498291,29.354728937149048
14,0.005770950112491846,22.387527465820312,0.9110526442527771,14.155266761779785,27.051217794418335
15,0.005539352539926767,22.565412521362305,0.8977557420730591,13.67322826385498,30.24026107788086
16,0.006283111404627562,22.018253326416016,0.8873648047447205,14.168633460998535,27.176122903823853
17,0.005491620395332575,22.602994918823242,0.8799417018890381,13.3023042678833,27.49045705795288
18,0.006486997939646244,21.879562377929688,0.8889884948730469,14.491796493530273,26.501287937164307
19,0.006873306818306446,21.62834358215332,0.8868831992149353,15.480886459350586,27.09737515449524
20,0.005741155240684748,22.41000747680664,0.8909160494804382,14.3261137008667,27.141141891479492
